candidate_id,family,role,describe,spec_hash,page,reviewer,decision,acns_labels,concerns,comments,date
V110-01,PQW-110,canonical,Central 10 Hz mu rhythm with a six-second movement block; distinct from posterior alpha,sha256:ceeab3ef2e246ae258dd27db3585c8102961b914a5b3ab43ea1ff8d368bcc4d8,p7\batch110\review\V110-01.png,,pending,,,,
V110-02,PQW-110,canonical,Positive occipital lambda transients during authored awake visual scanning (child teaching context),sha256:2e5813e2467e4a8f500d53b3777af38908c7c8b655121920c4b87483d9890ebf,p7\batch110\review\V110-02.png,,pending,,,,
V110-03,PQW-110,canonical,Arciform non-evolving temporal wickets during authored drowsiness; not keyed epileptiform,sha256:de986da3f36b9a4f6f4657c1f21cf7a728c8e05098e99025816a2d0c97011279,p7\batch110\review\V110-03.png,,pending,,,,
V110-04,PQW-110,canonical,Positive posterior-temporal 14-and-6 burst during authored light sleep,sha256:faabc45d0126fc985d460292ec473eb26cafce825f507c33b51564f228d90270,p7\batch110\review\V110-04.png,,pending,,,,
V110-05,PQW-110,canonical,Non-evolving temporal theta RMTD during authored drowsiness,sha256:f1c8c44e9551f708840210b1955c306816971b015cd37f5f3fd11130e45b4895,p7\batch110\review\V110-05.png,,pending,,,,
V110-06,PQW-110,canonical,Adult-teaching SREDA: bilateral temporoparietal theta,sha256:652b06c6b92178cad21980185845397f69c2f6a125be43edc30b7cc6c046ff53,p7\batch110\review\V110-06.png,,pending,,,,
V110-07,PQW-110,gating_contrast,SREDA pediatric gate contrast: same explicit request is omitted by authored adult teaching policy,sha256:8685a95992a3eec57813df6e77b0b3322fff7683c0ce333198218db7b9980391,p7\batch110\review\V110-07.png,,pending,,,,
V110-08,PQW-110,canonical,"Infant/child authored frontal arousal rhythm; classification pending Craig, not labeled benign",sha256:db8d323cd460175bfec37bd0d47dad31221196024dd7154b54fe7232ee5eecb7,p7\batch110\review\V110-08.png,,pending,,,,
V110-09,PQW-110,canonical,Posterior 12 Hz photic driving during an explicit awake stimulus window,sha256:cb7f45cf92e662b162dbad04700c162cf9754f8ff9f422e934303ac3494b69a7,p7\batch110\review\V110-09.png,,pending,,,,
V110-10,PQW-110,canonical,Pediatric high-voltage 3 Hz hyperventilation buildup with authored activation/recovery envelope,sha256:cb56632a7b6ebdb3666468381e514db2f8bee22cffbb2300394abe294ddb01a8,p7\batch110\review\V110-10.png,,pending,,,,
A110-01,PQW-110,canonical,Abrupt lateral eye movements: opposed left/right frontal corneo-fundal field,sha256:9d6f91dcea820219f8017d2082e509e421dfb39b36f6e79d4b7a296d482a2019,p7\batch110\review\A110-01.png,,pending,,,,
A110-02,PQW-110,canonical,Slow roving lateral eye movement in an explicit drowsy interval,sha256:6738362490303f1c241455932b72f94d0e97a8329fc3c19d336bac318e1fb8fe,p7\batch110\review\A110-02.png,,pending,,,,
A110-03,PQW-110,canonical,"Explicit REM-like lateral eye bursts; ocular event only, not a full PSG-stage claim",sha256:2c01c348d038a93a178af107f08e3a8e542c0075fd9f26d17d61e9dfc9924228,p7\batch110\review\A110-03.png,,pending,,,,
A110-04,PQW-110,canonical,Electrical ECG artifact (existing waveform),sha256:1cbc4480b5b8a0c02a19ac6925eca1be83dfe8909a295d1aeda702524e26423c,p7\batch110\review\A110-04.png,,pending,,,,
A110-05,PQW-110,canonical,"Mechanical pulse-linked artifact, separate from ECG",sha256:17a089c03a662c7c5a663bc31696549330cc23141ee8fa1655e4eb74786e7aed,p7\batch110\review\A110-05.png,,pending,,,,
A110-06,PQW-110,canonical,Sweat artifact (existing slow waveform),sha256:d510804d96d8490994c2d51a4684e771fa2106ab8615d0809504fa2893902aa1,p7\batch110\review\A110-06.png,,pending,,,,
A110-07,PQW-110,canonical,Electrode pops with explicit event rate and decay,sha256:c374e4705f7039d6b354e593a4fb9b96e095662d98136a16ca4c5abf0ecfa4fa,p7\batch110\review\A110-07.png,,pending,,,,
A110-08,PQW-110,canonical,Gross movement artifact (existing slow plus muscle components),sha256:ea49c3dc224fbf07a5a0022809d2766947bcfb08242f90f84a3549e4a17b1189,p7\batch110\review\A110-08.png,,pending,,,,
A110-09,PQW-110,canonical,Ventilator artifact with explicit respiratory frequency,sha256:cd458c81ac609a13298151b13a36a942b5f9d13c778a4228b92cde76f8367355,p7\batch110\review\A110-09.png,,pending,,,,
A110-10,PQW-110,canonical,Chewing: existing irregular high-frequency EMG bouts,sha256:9b7d7250a4fc1ed39e1c1664f43330803549fc9193bffc931451984578e409a9,p7\batch110\review\A110-10.png,,pending,,,,
A110-11,PQW-110,canonical,Glossokinetic tongue-dipole movement without chewing EMG,sha256:d86835764ca55281546170e8105fbdf84257d8111115b4428069f4ae4b8a80d8,p7\batch110\review\A110-11.png,,pending,,,,
A110-12,PQW-110,canonical,60 Hz electrical interference (existing waveform),sha256:bbb8a4508ccbbabf4dd56b885b8c985e54699199b430b0e3a0e5cc54fe233997,p7\batch110\review\A110-12.png,,pending,,,,
